pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^[a-f0-9]{32}$;../runGen4Rest/hyper-03-08/bech2-between_9322_1.txt;1.21;0.0;0.0;0.29;0.12;0.4;0.0;0.36;0.24;0.02;0.02;0.18;0.25;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
\d{1,3}.?\d{0,3}\s[a-zA-Z]{2,30}\s[a-zA-Z]{2,15};../runGen4Rest/hyper-03-08/internetSources-between_30_1.txt;0.0;0.03;0.03;0.86;7.7;1.0;0.02;0.28;0.91;0.1;1.2;1.45;3.03;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[0-9]{10}GBR[0-9]{7}[U,M,F]{1}[0-9]{9}$;../runGen4Rest/hyper-03-08/internetSources-between_84_1.txt;0.02;0.0;0.0;0.31;0.12;0.4;0.0;0.25;0.11;0.02;0.02;0.16;0.24;0.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^(429496729[0-6]|42949672[0-8]\d|4294967[01]\d{2}|429496[0-6]\d{3}|42949[0-5]\d{4}|4294[0-8]\d{5}|429[0-3]\d{6}|42[0-8]\d{7}|4[01]\d{8}|[1-3]\d{9}|[1-9]\d{8}|[1-9]\d{7}|[1-9]\d{6}|[1-9]\d{5}|[1-9]\d{4}|[1-9]\d{3}|[1-9]\d{2}|[1-9]\d|\d)$;../runGen8/texts/missing-hyper2/missing-20-08_08_1.txt;0.01;0.01;0.0;0.74;0.14;TO;0.0;0.3;0.08;0.01;0.01;0.16;0.26;0.7;0;0;0;0;0;TO;0;0;0;0;0;0;0;0;11.0
^(\d|\d{1,9}|1\d{1,9}|20\d{8}|213\d{7}|2146\d{6}|21473\d{5}|214747\d{4}|2147482\d{3}|21474835\d{2}|214748364[0-7])$;../runGen8/texts/missing-hyper2/missing-20-08_16_1.txt;0.02;0.02;0.0;0.7;0.15;0.73;0.0;0.3;0.1;0.02;0.01;0.16;0.24;0.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.0
""((\d{4}|\d{2})-(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)-(\d{4}|\d{2}))|((\d{4}|\d{2})-\d{2}-(\d{4}|\d{2}))|((\d{4}|\d{2})\/(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)\/(\d{4}|\d{2}))|((\d{4}|\d{2})\/(\d{3}|\d{2})\/(\d{4}|\d{2}))|([0-3][0-9]((st)|(nd)|(rd)|(th))((\s)?)(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec))"""", """"Bill dated 27-May-18 for your airtel fixedline/broadband ID ##### has been sent at abc@abc.com from ebill@abc.com. Due amount: Rs 2,358.82, due date: 15-Jun-18"";../runGen8/texts/missing-hyper2/missing-20-08_23_1.txt;0.0;0.08;0.06;1.21;TO;TO;0.0;0.26;3.79;0.26;7.67;4.32;4.27;1.58;0;0;0;0;TO;TO;ERR;0;0;0;0;0;0;0;11.0
"", ""([^%]{500}[^\n]+)[^%]*;../runGen8/texts/missing-hyper2/missing-20-08_26_1.txt;3.43;1.07;0.01;0.4;0.21;0.45;0.09;0.24;0.26;0.02;0.02;0.06;0.38;0.95;1;1;1;1;1;1;1;0;1;1;1;1;1;1;11.000332
"", ""."", ""<f:validateRegex pattern=""([a-zA-Z_0-9])\.{4,32}"" />;../runGen8/texts/missing-hyper2/missing-20-08_29_1.txt;0.01;0.01;0.03;0.61;0.86;0.66;0.04;0.29;0.09;0.02;0.02;0.13;0.43;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.0
"", ""[ ]"", ""[+]46"", ""\+46"", ""[+]\d{46}"", ""[+46];../runGen8/texts/missing-hyper2/missing-20-08_30_1.txt;0.02;0.01;0.01;0.46;0.14;0.61;0.0;0.32;0.07;0.03;0.02;0.05;0.31;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000054
"", ""[- \w().[\]!#,&*+:'/]{1,80};../runGen8/texts/missing-hyper2/missing-20-08_31_1.txt;0.02;0.02;0.01;0.92;0.16;0.9;0.0;0.29;0.15;0.02;0.02;0.05;0.08;1.22;0;1;1;1;1;1;ERR;0;ERR;1;1;1;;1;17.000005
"", ""[-+&/,A-z0-9\s]{1,127};../runGen8/texts/missing-hyper2/missing-20-08_32_1.txt;0.04;0.02;0.01;0.4;0.18;0.48;0.0;0.28;0.08;0.02;0.02;0.04;0.36;0.73;0;1;1;1;1;1;1;0;1;1;1;1;1;1;21.000008
"", ""\\X{20,}"", ""\\X{20,}"", """", ""\;../runGen8/texts/missing-hyper2/missing-20-08_33_1.txt;ERR;ERR;ERR;ERR;ERR;ERR;0.0;0.28;0.08;0.01;ERR;0.02;0.07;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0;ERR;0;;ERR;21.000116
"", ""\d{4}\d{2}\d{2}"", ""\d{4}\d{2}\d{2}"", ""d{2}"", ""\d{4}"", ""(\d{4})(\d{2})(\d{2});../runGen8/texts/missing-hyper2/missing-20-08_34_1.txt;0.02;0.1;0.01;0.4;0.14;0.68;0.0;0.3;0.06;0.01;0.02;0.04;0.26;0.72;0;1;1;1;1;1;1;0;1;1;1;1;1;1;11.0
"", ""pattern=""[0-9]{7}"""", ""input( type=""tel"", pattern=""\d{7}"" )"", ""<input type=""tel"" pattern=""d{7}"">;../runGen8/texts/missing-hyper2/missing-20-08_35_1.txt;0.04;0.05;0.01;0.46;0.13;0.59;0.0;0.28;0.07;0.01;0.01;0.04;0.25;0.72;0;1;1;1;1;1;1;0;1;1;1;1;1;1;11.000011
"", ""std::regex regexp(""([0-9]{16}):([0-9]{5,20}):([a-zA-Z0-9\+/=]{28})"")"", ""std::regex regexp(""([0-9]{16}):([0-9]{5,20}):([a-zA-Z0-9\+/=]{28})"",std::regex_constants::extended);../runGen8/texts/missing-hyper2/missing-20-08_36_1.txt;0.82;0.02;0.02;0.52;0.65;0.77;0.01;0.31;0.15;0.02;0.08;0.1;0.79;0.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000088
"", ""{1,24};../runGen8/texts/missing-hyper2/missing-20-08_37_1.txt;0.01;0.01;0.01;0.38;0.15;0.43;0.0;0.26;0.08;0.03;0.02;0.04;0.31;0.74;1;1;1;1;1;1;1;0;1;1;1;1;1;1;21.000006
""DROP\s+tcp\s+\S+\s+(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+0\.0\.0\.0/0\s+tcp\s+dpt:(\d+)"""", ""DROP\s+tcp\s+\S+\s+(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+0\.0\.0\.0/0\s+tcp\s+dpt:(\d+);../runGen8/texts/missing-hyper2/missing-20-08_40_1.txt;0.02;0.02;0.01;0.5;0.22;1.42;0.01;0.3;0.09;0.01;0.02;0.05;0.42;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.00708
""I - (Fab|Opt) - [0-9]+ - ([0-9]{4}/[0-9]{2}/[0-9]{2}) ([0-9]{2}:[0-9]{2}:[0-9]{2}:[0-9]{3}) - .+ Bus / (.+) : 500|.+|003([0-9]{7}).+"""", ;../runGen8/texts/missing-hyper2/missing-20-08_41_1.txt;0.02;0.44;0.02;0.44;0.71;3.17;0.06;0.28;0.26;0.03;0.02;0.06;0.38;0.74;1;1;1;1;1;1;1;0;1;1;1;1;1;1;21.0
""USSS"",(\d+\.\d{12}),(\d+\.\d{12});../runGen8/texts/missing-hyper2/missing-20-08_43_1.txt;0.02;0.04;0.0;0.4;0.13;0.47;0.0;0.29;0.08;0.02;0.02;0.03;0.24;0.7;0;1;1;1;1;1;1;0;1;1;1;1;1;1;11.001015
""[0-9]{0,14}"""", ""{0,14};../runGen8/texts/missing-hyper2/missing-20-08_45_1.txt;0.04;0.01;0.03;0.54;1.6;0.86;0.03;0.29;0.41;0.04;0.02;0.2;0.53;0.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000003
""[A-Z0-9]{3}_[ -~]{1,28}"""", ""[A-Z0-9]{3}_[ -~]{1,28}"", ""nginx: [emerg] invalid condition ""[A-Z0-9]"" in /etc/nginx/nginx.conf:29;../runGen8/texts/missing-hyper2/missing-20-08_46_1.txt;0.0;0.14;0.0;0.36;0.12;7.45;0.0;0.28;0.07;0.0;0.01;0.02;0.25;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;11.00001
""[\d\-\s]{10,25}"" to match your criteria"", ""\d"", ""\w;../runGen8/texts/missing-hyper2/missing-20-08_47_1.txt;0.01;0.02;0.01;1.09;0.64;1.14;0.02;0.29;0.16;0.02;0.02;0.06;0.41;0.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000052
""\d{4}-\d{2}-\d{2}-\d{2}[ .]\d{2}:\d{2}.*"""", ""\d{4}-\d{2}-\d{2}-\d{2}[ .]\d{2}:\d{2}.*;../runGen8/texts/missing-hyper/missingHyper_9053_1.txt;0.02;0.01;0.04;0.63;TO;0.96;0.02;0.26;TO;TO;0.03;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;TO;0;TO;TO;TO
[XYZ]{15,20}[WXY]{15,20}"", ""[XYZ]{15}[WXY]{16}"", ""[XYZ]{16}[WXY]{15}"", ""[XYZ]{15}[WXY]{15};../runGen4Rest/hyper-03-08/stackoverflow-between_9464_1.txt;0.06;0.06;0.03;0.58;12.41;1.6;0.02;0.21;2.48;0.42;0.88;3.23;3.31;3.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.3003
[[a-zA-Z],[a-zA-Z]]{1,20}"", ""([a-zA-Z]{1,20}),([a-zA-Z]{1,20});../runGen4Rest/hyper-03-08/stackoverflow-between_9465_1.txt;0.0;0.08;0.0;0.35;0.11;0.38;0.03;0.26;0.24;0.02;0.02;0.03;2.47;0.52;1;1;1;1;1;1;0;0;0;1;1;1;0;1;10.5
[\d][\dA]{15}"", ""\d{7}(A|\d)\d{8};../runGen4Rest/hyper-03-08/stackoverflow-between_9466_1.txt;0.01;0.06;0.07;0.77;2.08;0.7;0.02;0.21;0.1;0.03;0.03;0.39;0.52;0.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
[\d]{9}\.[\d]{6}"", ""[\d]{1,9}\.[\d]{1,6}"", ""[\d]{1,9}\.?[\d]{0,6};../runGen4Rest/hyper-03-08/stackoverflow-between_9467_1.txt;0.02;0.01;0.03;0.69;0.77;0.6;0.02;0.26;0.11;0.01;0.05;0.34;0.28;0.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300015
[\w-[_]]"", ""\w"", ""\w{8}-\w{4}-\w{4}-\w{4}-\w{12}\.\w{5};../runGen4Rest/hyper-03-08/stackoverflow-between_9468_1.txt;ERR;0.06;0.03;2.58;3.19;0.93;0.0;0.25;0.08;0.0;0.12;0.02;0.6;0.73;ERR;0;0;0;0;0;ERR;0;"unmatched range specifier in char-class: /[\w-[_]]"". ""\w"". ""\w{8}-\w{4}-\w{4}-\w{4}-\w{12}\.\w{5}/###0";0;0;0;0;0;10.5
[\w-]{32}"", ""/b/[\w-]{32};../runGen4Rest/hyper-03-08/stackoverflow-between_9469_1.txt;0.02;0.01;0.04;2.28;1.16;0.99;0.93;0.26;0.08;0.04;0.03;0.35;0.47;0.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
[\w/]{3,15}"", ""[...]"", ""\w"", ""string ValidationExpression= ""[\w/]{3,15}"""", ""[...]{3,15};../runGen4Rest/hyper-03-08/stackoverflow-between_9470_1.txt;0.02;ERR;0.05;2.49;4.84;1.26;0.01;0.26;0.13;0.01;0.05;0.56;0.87;0.89;0;ERR;0;0;0;0;0;0;0;0;0;0;0;0;10.5
[\w\W]"", ""."", ""[\s\S]"", ""[\s\S]{15}"", ""[\d\D]"", ""[^]{15}"", ""\S*"", ""[^];../runGen4Rest/hyper-03-08/stackoverflow-between_9471_1.txt;0.01;0.02;0.04;0.62;3.42;0.67;0.0;0.26;0.08;0.01;0.16;0.86;0.08;0.92;0;0;0;0;0;0;ERR;0;"empty char-class: /[\w\W]"". ""."". ""[\s\S]"". ""[\s\S]{15}"". ""[\d\D]"". ""[^]{15}"". ""\S*"". ""[^]/###0";0;0;0;;0;10.93066
[\w\s\-\(\)\!\,\.]{3,45};../runGen4Rest/hyper-03-08/stackoverflow-between_9473_1.txt;0.01;0.22;0.0;1.98;0.12;0.84;0.0;0.3;0.08;0.01;0.01;0.03;0.22;0.66;1;1;1;1;1;1;ERR;0;1;1;1;1;1;1;10.5
[\w\s]{0,30}"", ""(\w|\s){0,30};../runGen4Rest/hyper-03-08/stackoverflow-between_9474_1.txt;0.02;0.01;0.05;2.3;1.8;0.92;1.52;0.26;0.07;0.05;0.02;0.44;0.6;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.30001
[^%]%[0-9A-F]{2}[^%]?"", ""%[0-9A-F]{2}[^%]?[^%]?"", ""[^%]{1,5}"", ""(%[0-9A-F]{2}[^%]?[^%]?|[^%]%[0-9A-F]{2}[^%]?|[^%][^%]%[0-9A-F]{2}|[^%]{1,5})"", ""[^%][^%]%[0-9A-F]{2};../runGen4Rest/hyper-03-08/stackoverflow-between_9475_1.txt;2.19;0.02;0.04;0.6;2.92;1.15;0.04;0.24;0.56;0.02;0.06;0.4;0.9;0.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.136364
[^,]{83}$;../runGen4Rest/hyper-03-08/stackoverflow-between_9477_1.txt;19.98;0.01;0.04;0.5;6.52;1.0;0.0;0.27;9.82;0.74;0.01;1.02;2.39;0.63;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
[^-]"", ""[^-]{15,}[^-]"", ""{15,};../runGen4Rest/hyper-03-08/stackoverflow-between_9478_1.txt;0.0;0.11;0.02;0.6;TO;0.74;0.02;0.25;TO;0.03;0.02;TO;TO;ERR;0;0;0;0;TO;0;0;0;TO;0;0;TO;TO;ERR;10.5
[^0-9]([12]\d{3})(\d{6})(\d{2})[^0-9]"", ""([12]\d{3})(\d{6})(\d{2});../runGen4Rest/hyper-03-08/stackoverflow-between_9479_1.txt;0.0;0.05;0.04;0.68;1.82;1.49;0.02;0.24;0.24;0.04;0.22;0.42;1.23;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
[^:&\.~ ]{5,20} #checks wheter the length and the characters are right"", ""[A-Za-z][A-Za-z0-9]{7,14};../runGen4Rest/hyper-03-08/stackoverflow-between_9480_1.txt;3.26;0.02;0.05;0.61;3.42;1.08;0.03;0.25;0.97;0.16;0.25;0.59;0.76;1.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.41875
[^<>]{15,100};../runGen4Rest/hyper-03-08/stackoverflow-between_9481_1.txt;0.01;0.21;0.0;0.3;0.12;0.37;0.0;0.27;0.07;0.02;0.02;0.03;0.22;0.5;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
[^A-Za-z-_0-9 ]{,10}"", ""[^A-Za-z-_0-9 ]{10}"", ""[^A-Za-z-_0-9 ]{10,}"", ""[^A-Za-z-_0-9 ]{8,10};../runGen4Rest/hyper-03-08/stackoverflow-between_9482_1.txt;ERR;0.03;0.06;0.66;2.48;0.6;0.0;0.32;1.45;0.03;0.09;0.8;0.05;1.04;ERR;0;0;0;0;0;ERR;0;0;0;0;0;;0;13.192309
[^\.\d]\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}[^\.\d]"", ""[^\.\d](\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})[^\.\d];../runGen4Rest/hyper-03-08/stackoverflow-between_9483_1.txt;0.04;0.01;0.04;1.03;2.72;0.91;0.02;0.24;0.24;0.04;0.34;0.51;1.47;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300017
[^\d]\d{2}"", ""\d{3}[^\d]\d{7}[^\d]\d{2}"", ""[^\d]\d{7}"", ""\d{3};../runGen4Rest/hyper-03-08/stackoverflow-between_9484_1.txt;0.0;0.01;0.06;0.9;2.33;0.81;0.02;0.28;0.18;0.02;0.17;0.45;0.78;0.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
[^\n\r]{80,}"", ""<PRE>[^<]*[^\n\r<]{80,}"", "".*;../runGen4Rest/hyper-03-08/stackoverflow-between_9485_1.txt;0.72;0.41;0.01;0.39;0.44;0.58;0.13;0.26;0.29;0.02;0.1;0.13;0.33;ERR;1;1;1;1;1;1;1;0;1;1;1;1;1;ERR;10.954232
[^\u0022]"", ""[^<>]{1,128}"", ""[\u0022]"", ""[^<>];../runGen4Rest/hyper-03-08/stackoverflow-between_9486_1.txt;0.04;ERR;ERR;0.37;0.11;0.53;0.0;0.25;0.07;0.05;0.37;0.02;0.32;0.88;0;ERR;ERR;1;1;1;1;ERR;1;0;0;1;1;1;10.3378
[^\w{2}\d{10}]"", "".*(\w{2}\d{10});../runGen4Rest/hyper-03-08/stackoverflow-between_9487_1.txt;0.02;0.01;0.03;2.94;18.39;1.43;0.03;0.31;3.24;0.02;4.88;3.93;3.9;1.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.708
[^\w{2}\d{10}]*"", ""\w{2}\d{10};../runGen4Rest/hyper-03-08/stackoverflow-between_9488_1.txt;0.01;0.04;0.06;2.33;5.09;1.06;0.03;0.27;0.54;0.05;0.9;0.8;2.06;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
[^a-zA-Z0-9 ]|([a-zA-Z]{2,4}[0-9]{1,5}_part[0-9]{1,5}) "", ""[^a-zA-Z0-9 ]|([a-zA-Z]{2,4}[0-9]{1,5}_part[0-9]{1,5});../runGen4Rest/hyper-03-08/stackoverflow-between_9490_1.txt;3.16;0.02;0.04;0.6;8.49;1.18;0.02;0.31;1.9;0.12;3.0;1.53;3.22;0.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.30001
[^stuff]{10,}"", ""{10,15}"", ""{10,};../runGen4Rest/hyper-03-08/stackoverflow-between_9491_1.txt;0.04;0.11;0.03;0.57;TO;1.36;0.06;0.22;TO;0.06;0.05;TO;TO;ERR;0;0;0;0;TO;0;0;0;TO;0;0;TO;TO;ERR;10.828125
[a-f0-9A-F]{32}"", ""p.add_argument('hex', type=str, nargs=""[a-f0-9A-F]{32}"");../runGen4Rest/hyper-03-08/stackoverflow-between_9493_1.txt;5.34;0.02;0.03;0.52;6.23;0.9;0.02;0.26;0.17;0.5;0.05;1.23;2.8;1.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.30002
[a-f0-9]{32,40};../runGen4Rest/hyper-03-08/stackoverflow-between_9494_1.txt;0.0;0.18;0.0;0.32;0.12;0.4;0.0;0.29;0.08;0.02;0.02;0.03;0.21;0.49;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
[a-f0-9]{8}-?[a-f0-9]{4}-?4[a-f0-9]{3}-?[89ab][a-f0-9]{3}-?[a-f0-9]{12};../runGen4Rest/hyper-03-08/stackoverflow-between_9495_1.txt;0.02;0.14;0.0;0.26;0.14;0.45;0.01;0.24;0.07;0.01;0.02;0.03;0.25;0.62;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
[a-f0-9]{8}-[a-f0-9]{4}-4[a-f0-9]{3}-[89aAbB][a-f0-9]{3}-[a-f0-9]{12};../runGen4Rest/hyper-03-08/stackoverflow-between_9496_1.txt;2.11;0.06;0.03;0.53;3.04;0.4;0.03;0.27;0.3;0.05;0.18;0.61;0.92;1.1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10.5
[a-f0-9]{8}-[a-f0-9]{4}-[a-f0-9]{4}-[a-f0-9]{4}-[a-f0-9]{11,12}"", ""{12};../runGen4Rest/hyper-03-08/stackoverflow-between_9497_1.txt;0.0;0.02;0.03;0.54;3.19;1.04;0.0;0.22;0.06;0.04;0.02;0.66;1.24;1.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
[a-f0-9]{8}-[a-f0-9]{4}-[a-f0-9]{4}-[a-f0-9]{4}-[a-f0-9]{12};../runGen4Rest/hyper-03-08/stackoverflow-between_9498_1.txt;2.27;0.14;0.04;0.5;3.17;0.36;0.03;0.26;0.46;0.04;0.31;0.65;0.98;1.08;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10.5
[a-fA-F0-9]{8}-[a-fA-F0-9]{4}-[a-fA-F0-9]{4}-[a-fA-F0-9]{4}-[a-fA-F0-9]{12};../runGen4Rest/hyper-03-08/stackoverflow-between_9499_1.txt;2.56;0.14;0.04;0.52;3.36;0.4;0.02;0.26;0.49;0.06;0.34;0.58;1.19;1.16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10.5
[a-z A-Z]{2,30};../runGen4Rest/hyper-03-08/stackoverflow-between_9500_1.txt;0.01;0.22;0.01;0.3;0.12;0.37;0.0;0.28;0.07;0.01;0.02;0.03;0.22;0.63;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
[a-z0-9]+"", ""."", ""+"", ""{32};../runGen4Rest/hyper-03-08/stackoverflow-between_9504_1.txt;0.0;0.1;0.03;0.49;0.91;0.52;0.04;0.29;0.38;0.04;0.02;0.44;0.42;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
[a-z0-9]{32}\.*;../runGen4Rest/hyper-03-08/stackoverflow-between_9505_1.txt;0.01;0.24;0.0;0.32;0.13;0.42;0.0;0.34;0.08;0.02;0.02;0.03;0.24;0.67;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
[a-z0-9]{40};../runGen4Rest/hyper-03-08/stackoverflow-between_9506_1.txt;0.02;0.2;0.0;0.31;0.12;0.38;0.0;0.29;0.08;0.01;0.01;0.03;0.26;0.67;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
[a-zA-Z ,.'-]{3,30}"", ""[a-zA-Z']{1}[a-zA-Z ,.'-]{2,29};../runGen4Rest/hyper-03-08/stackoverflow-between_9509_1.txt;0.01;0.31;0.0;0.3;0.12;0.37;0.0;0.25;0.08;0.02;0.02;0.03;0.24;0.65;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
[a-zA-Z ]{3,30};../runGen4Rest/hyper-03-08/stackoverflow-between_9511_1.txt;0.0;0.2;0.0;0.3;0.12;0.37;0.0;0.27;0.08;0.02;0.02;0.04;0.22;0.52;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
[a-zA-Z""\']{1,50}"", ""\x22"", ""\x27"", ""[a-zA-Z\x22\x27]{1,50};../runGen4Rest/hyper-03-08/stackoverflow-between_9513_1.txt;0.01;0.01;0.04;0.56;44.61;1.0;0.0;0.3;0.1;3.06;0.04;9.06;12.24;4.2;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.300011
[a-zA-Z.'-]{1,29}[a-zA-Z.'];../runGen4Rest/hyper-03-08/stackoverflow-between_9514_1.txt;0.0;0.03;0.0;0.32;0.12;0.38;0.0;0.27;0.07;0.02;0.01;0.04;0.26;0.66;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.300017
[a-zA-Z0-9 -+]{50,100};../runGen4Rest/hyper-03-08/stackoverflow-between_9515_1.txt;0.0;0.19;0.0;0.32;0.11;0.37;0.0;0.25;0.06;0.0;0.02;0.02;0.26;0.62;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
[a-zA-Z0-9+/]{64};../runGen4Rest/hyper-03-08/stackoverflow-between_9516_1.txt;0.0;0.2;0.0;0.32;0.12;0.36;0.0;0.26;0.07;0.01;0.02;0.03;0.24;0.64;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
[a-zA-Z0-9\-]{36};../runGen4Rest/hyper-03-08/stackoverflow-between_9518_1.txt;0.01;0.2;0.0;0.3;0.11;0.36;0.0;0.29;0.07;0.02;0.02;0.02;0.24;0.65;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
[a-zA-Z0-9\u0022\u0022\u0022\u0022\u0022\u0022\u0022]{1,5}#[a-zA-Z0-9\u0022\u0022\u0022\u0022\u0022\u0022\u0022]{1,5}-\d{8}-\d{6}#(\d+);../runGen4Rest/hyper-03-08/stackoverflow-between_9519_1.txt;0.01;ERR;ERR;0.62;6.35;0.99;0.03;0.29;1.27;0.23;1.05;1.14;2.41;1.29;0;ERR;ERR;0;0;0;0;ERR;0;0;0;0;0;0;10.300024
[a-zA-Z0-9]+"", ""[a-fA-F0-9]{32};../runGen4Rest/hyper-03-08/stackoverflow-between_9520_1.txt;0.88;0.21;0.04;0.5;1.28;0.67;0.02;0.25;0.4;0.06;0.35;0.44;0.59;0.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
[a-zA-Z0-9]+"", ""[a-zA-Z0-9]{1,31};../runGen4Rest/hyper-03-08/stackoverflow-between_9521_1.txt;0.01;0.32;0.01;0.28;0.09;0.4;0.0;0.24;0.07;0.0;0.02;0.03;0.26;0.48;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
[a-zA-Z0-9]+"", ""{4,34};../runGen4Rest/hyper-03-08/stackoverflow-between_9522_1.txt;0.02;0.02;0.04;0.53;1.18;0.63;0.03;0.26;0.38;0.06;0.03;0.45;0.54;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
[a-zA-Z0-9][0-9]{7,9}|[a-zA-Z0-9]{2}[0-9]{6,8}|[a-zA-Z0-9]{3}[0-9]{5,7};../runGen4Rest/hyper-03-08/stackoverflow-between_9523_1.txt;0.08;0.04;0.09;0.59;2.93;1.08;0.06;0.27;1.08;0.11;2.4;1.12;1.27;1.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.75
[a-zA-Z0-9][a-zA-Z0-9 ]{0,254}[a-zA-Z0-9]?"", ""?;../runGen4Rest/hyper-03-08/stackoverflow-between_9524_1.txt;0.03;0.02;ERR;0.57;TO;0.96;128.19;0.22;0.06;18.82;0.02;87.47;119.58;31.23;0;0;ERR;0;TO;0;0;0;0;0;0;0;0;0;10.329374
[a-zA-Z0-9]{1,10}\s{1,5}"""", ""\([a-zA-Z0-9]{1,10}\s{1,5}""\);../runGen4Rest/hyper-03-08/stackoverflow-between_9525_1.txt;0.03;0.04;0.02;0.56;11.66;0.98;0.02;0.28;2.04;0.28;2.66;2.72;3.59;1.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300023
[a-zA-Z0-9]{1,20}@[a-zA-Z0-9]{1,20}\.[a-zA-Z]{2,3}"", ""\."", ""."", ""@""[a-zA-Z0-9]{1,20}@[a-zA-Z0-9]{1,20}\.[a-zA-Z]{2,3} """", ""{1,20};../runGen4Rest/hyper-03-08/stackoverflow-between_9526_1.txt;0.04;0.05;0.04;0.57;16.06;0.98;0.02;0.27;3.57;0.6;1.87;2.51;6.96;2.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
[a-zA-Z0-9]{15,18}"", ""[a-zA-Z0-9]{18}|[a-zA-Z0-9]{15};../runGen4Rest/hyper-03-08/stackoverflow-between_9527_1.txt;1.38;0.02;0.08;0.58;2.21;0.93;0.02;0.22;0.9;0.08;1.44;0.74;0.73;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
